"sep=,"
DOC-ID,TP,FP,TN,FN,RECALL,PRECISION,ACCURACY
obesity1,3,0,41,0,1,1,1
obesity104,4,0,56,2,0.67,1,0.8
obesity106,2,1,18,0,1,0.67,0.8
obesity107,3,3,20,2,0.6,0.5,0.55
obesity108,3,1,26,5,0.38,0.75,0.5
obesity109,5,0,23,2,0.71,1,0.83
obesity1000,1,0,31,0,1,1,1
obesity1001,6,0,52,0,1,1,1
obesity1002,4,0,33,2,0.67,1,0.8
obesity1003,4,2,18,1,0.8,0.67,0.73
obesity1004,6,0,17,1,0.86,1,0.92
obesity1006,3,0,37,1,0.75,1,0.86
obesity1007,5,4,28,2,0.71,0.56,0.63
obesity1009,5,0,27,0,1,1,1
obesity1010,4,0,36,2,0.67,1,0.8
obesity1011,6,0,48,1,0.86,1,0.92
obesity1012,1,0,19,3,0.25,1,0.4
obesity1013,5,0,32,0,1,1,1
obesity1016,5,0,39,3,0.63,1,0.77
obesity1019,4,0,30,3,0.57,1,0.73
obesity1021,7,0,31,0,1,1,1
obesity1023,5,0,38,1,0.83,1,0.91
obesity1024,5,4,24,0,1,0.56,0.71
obesity1026,7,0,33,1,0.88,1,0.93
obesity1027,3,0,16,0,1,1,1
obesity1028,5,1,60,0,1,0.83,0.91
obesity1029,3,0,34,0,1,1,1
obesity1031,2,0,12,0,1,1,1
obesity1033,6,1,28,0,1,0.86,0.92
obesity1034,6,2,20,1,0.86,0.75,0.8
obesity1037,4,0,40,0,1,1,1
obesity1038,6,0,42,1,0.86,1,0.92
obesity1039,2,5,57,0,1,0.29,0.44
obesity1041,0,0,20,1,0,0,0
obesity1042,4,0,40,0,1,1,1
obesity1043,3,0,46,0,1,1,1
obesity1044,3,1,37,1,0.75,0.75,0.75
obesity1045,4,0,23,0,1,1,1
obesity1046,4,0,27,1,0.8,1,0.89
obesity1047,5,0,36,0,1,1,1
obesity1049,5,0,27,0,1,1,1
obesity1050,1,2,36,0,1,0.33,0.5
obesity1051,1,3,9,0,1,0.25,0.4
obesity1052,5,0,33,1,0.83,1,0.91
obesity1053,3,2,29,0,1,0.6,0.75
obesity1054,3,0,29,0,1,1,1
obesity1055,4,5,39,3,0.57,0.44,0.5
obesity1057,4,0,38,1,0.8,1,0.89
obesity1060,4,3,24,1,0.8,0.57,0.67
obesity1061,5,1,15,0,1,0.83,0.91
obesity1063,2,0,23,1,0.67,1,0.8
obesity1064,6,2,38,1,0.86,0.75,0.8
obesity1065,6,2,28,1,0.86,0.75,0.8
obesity1066,4,0,26,1,0.8,1,0.89
obesity1067,2,1,28,3,0.4,0.67,0.5
obesity1068,6,0,34,0,1,1,1
obesity1069,5,1,42,2,0.71,0.83,0.77
obesity1070,5,1,47,2,0.71,0.83,0.77
obesity1071,3,0,24,2,0.6,1,0.75
obesity1072,2,0,39,0,1,1,1
obesity1075,4,0,15,0,1,1,1
obesity1076,1,0,29,1,0.5,1,0.67
obesity1077,1,0,12,1,0.5,1,0.67
obesity1078,5,0,17,0,1,1,1
obesity1079,5,0,20,1,0.83,1,0.91
obesity1080,4,3,20,3,0.57,0.57,0.57
obesity1081,3,1,27,2,0.6,0.75,0.67
obesity1084,1,0,17,2,0.33,1,0.5
obesity1085,4,0,39,2,0.67,1,0.8
obesity1086,0,0,15,0,0,0,0
obesity1089,2,0,6,1,0.67,1,0.8
obesity1090,2,2,17,1,0.67,0.5,0.57
obesity1092,1,0,12,0,1,1,1
obesity1095,5,0,36,1,0.83,1,0.91
obesity1096,0,0,40,0,0,0,0
obesity1097,1,6,17,0,1,0.14,0.25
obesity1098,3,0,33,2,0.6,1,0.75
obesity1100,3,1,49,1,0.75,0.75,0.75
obesity1101,2,2,25,4,0.33,0.5,0.4
obesity1103,1,0,19,5,0.17,1,0.29
obesity1105,3,1,17,3,0.5,0.75,0.6
obesity1106,3,2,36,0,1,0.6,0.75
obesity1108,2,0,18,0,1,1,1
obesity1109,3,0,23,0,1,1,1
obesity1110,2,2,28,0,1,0.5,0.67
obesity1111,4,1,27,1,0.8,0.8,0.8
obesity1112,4,2,28,1,0.8,0.67,0.73
obesity1114,1,1,16,1,0.5,0.5,0.5
obesity1117,3,0,20,0,1,1,1
obesity1118,1,1,12,0,1,0.5,0.67
obesity1119,3,0,11,0,1,1,1
obesity1120,5,0,9,1,0.83,1,0.91
obesity1121,3,0,19,1,0.75,1,0.86
obesity1122,5,0,42,0,1,1,1
obesity1123,1,0,20,4,0.2,1,0.33
obesity1124,5,1,25,0,1,0.83,0.91
obesity1126,1,0,7,3,0.25,1,0.4
obesity1127,3,3,14,1,0.75,0.5,0.6
obesity1128,3,0,11,2,0.6,1,0.75
obesity1129,4,0,5,0,1,1,1
